flower_name,desc,arial,eco,resursi
ПЕРЕЦ ОДНОЛЕТНИЙ,"Описание. На родине, в тропиках Центральной Америки, это однолетний или многолетний полуку - старник, в странах умеренного климата перец возде - лывают в культуре как однолетник. Корневая система стержневая. Побеги прямостоячие, высотой 30-125 см, c ложнодихотомическим ветвлением. Стебель травяни - стый, но у основания одревесневает. Форма стебля от округлой до пятигранной. Нижние листья очередные, верхние — сближены попарно. Листовые пластинки от яйцевидных до ланцетовидных, с заостренный верхуш - кой и клиновидным основанием, темно-зеленые сверху и более светлые снизу, голые. Черешки длинные, иногда равные листовой пластинке, голые или рассеянно-о - пушенные. Цветки на прямостоячих или поникающих цветоносах, расположены по одному, реже — по два- три в местах ветвления побега. Околоцветник правиль - ный, чашечка сросшаяся, от ширококолокольчатой до бокальчатой, зеленая, с 5-7 короткими зубцами. Венчик длиной 5-11 мм, колосовидный, разделенный до сере - дины на 5-7 яйцевидных заостренных лопастей, белый, грязновато-белый, иногда с фиолетовыми пятнами, или фиолетовый. Пять свободных тычинок прикреплены своими нитями к основанию венчика. Пестик с верхней двугнездной завязью и многочисленными семяпочка - ми, прикрепленными к центральной плаценте, с одним столбиком и двулопастным рыльцем. Общее количество цветков на одном растении за вегетационный период достигает 20-85 и более. В зави - симости от условий выращивания и сорта перец начи - нает цвести через 40-80 суток после появления всходов. Цветки появляются непрерывно, пока живет растение. При образовании плодов появление новых цветков за - медляется. После снятия плодов цветение вновь усили - вается . Плоды 2-4-гнездные, многосемянные ложные ягоды, разнообразные по форме (чаще узкие), окраске (от зеленых до ярко-красных), по вкусу жгучие. Семе - на длиной 2,5-5 мм, бледно-желтые, плоские, почко - видные. Масса 1000 семян 4-6 г; 1 г семян содержит их 150-200 шт. Семена сохраняют хорошую всхожесть в течение 3 лет. Диплоидное число хромосом 2n=24. В медицине используют плоды горьких сортов стручкового перца.","Ареал. Родиной стручкового перца считают Цен - тральную Америку (Мексика, Гватемала). Там он был введен в культуру более 2 тыс. лет тому назад. После открытия Америки европейцами культура перца нача - ла быстро распространяться по странам Европы, Азии и Африки. В настоящее время перец возделывают во всех странах мира, где это возможно по климатическим ус - ловиям. В России первые упоминания о стручковом перце известны с 1661 года. Примерная граница выра - щивания перца в открытом грунте — от 52° северной до 55° южной широты. В нашей стране основные площади, на которых возделывают перец, находятся на Северном Кавказе (кроме высокогорий) и в Нижнем Поволжье.","Экология. Перец — растение короткого дня. Для нормального роста и плодоношения длина дня должна составлять 10-12 ч в сутки, но с возрастом у перца по - требность в продолжительности освещения меняется. Оптимальная освещенность для перца 20-30 клк; при интенсивности света менее 4-5 клк перец не растет. Перец требователен к плодородию почвы. Лучше рас - тет на легких почвах, хуже — на тяжелых, глинистых и кислых. Оптимальная рН почвенного раствора 6,0-6,6. Лучшие условия для прорастания семян перца — при 20-25°С и влажности почвы 70-75 %. При понижении температуры воздуха до +13- 15°С период прорастания семян удлиняется с 6-9 до 18-20 суток. Оптимальная температура воздуха для ро - ста и развития перца 20-28°С днем и 15-20°С ночью. При температуре ниже +15°С рост перца замедляется, а ниже +13°С — приостанавливается. Температура воздуха выше +35°С, сочетающаяся с недостаточной влажностью воздуха и почвы, вызы - вает угнетение растений и массовое опадание цветков. Низкая температура воздуха ночью (6-8°С) и днем (11- 15°С) способствует образованию стерильной пыльцы. Для нормального опыления необходима температура не менее 17°С. При температуре 3-5°С растения гиб - нут. Оптимальная влажность грунта 70-85 % от ППВ, а влажность воздуха — 60-70 %. Цветет в июне-августе. Плодоносит в июле-сентябре.",
ПИЖМА ОБЫКНОВЕННАЯ,"Описание. Многолетнее травянистое растение высотой 50-150 см, с длинным деревянистым корне - вищем, усаженным тонкими, мочковидными корнями. Стебли прямые, многочисленные, слегка опушенные или голые. Листья непарноперистые, продолговато-яй - цевидные, длиной до 20 см, шириной 3-10 см, дважды - перисто-рассеченные, самые нижние — черешковые, остальные — сидячие. Доли листа ланцетовидные, рас - сеченные, в свою очередь, на яйцевидно-ланцетовид - ные и ланцетовидные дольки. Дольки острозубчатые, реже почти цельнокрайние, длиной 3-10 мм, шириной 1-5 мм. Примерно такие же дольки развиты на общем черешке листа, между первичными долями. Морфоло - гически выраженной особенностью соцветия пижмы являются листочки на побегах, формирующих щитко - видное соцветие. Цветочных корзинок 10-70 (100), они полушаро - видные, сверху почти плоские, 5-8 мм в поперечнике, собраны на верхушке стебля и его ветвей щитком; на - ружные листочки обертки яйцевидно-ланцетовидные, заостренные, внутренние — продолговато-яйцевидные, тупые, на верхушке и по краям с узкой светлой или бу -роватой каймой. При рассмотрении листочков обвертки с поверхности в них хорошо заметна центральная жил - ка, сопровождающая секреторные ходы. Все цветки желтые, трубчатые. Пыльцевые зерна трехбороздно-оровые, эллипсоидальные. Скульптура поверхности пыльцевого зерна шиповатая. Плоды — продолговатые семянки с короткой мел - козазубренной окраиной, реже без нее. Масса 1000 се - мян 0,12-0,15 г. Цветет в июле-сентябре; плоды созревают в авгу - сте-октябре. Диплоидный набор хромосом 2n=18. В медицине используются соцветия пижмы.",,,
ПИОН  УКЛОНЯЮЩИЙСЯ,"Описание. Травянистый многолетник высотой от 40 см до 1 м, иногда выше. Корневище мощное, дву- или многоглавое, укороченное, с длинными мясисты - ми веретеновидными, обычно сидячими (без резких перехватов у основания) корневыми ответвлениями. Подземные части с сильным запахом метилсалицила - та, красновато-буро-коричневые, на изломе – белые, быстро темнеющие до розовато-бурых с лиловым от - тенком по краям. Почки возобновления на корневище крупные, пурпурно-розовые. Стебли прямостоячие, многочисленные, выпукло-ребристые, в основании ро - зово-пурпурные, с листовыми чешуями. Листья дваж - ды-тройчатораздельные, с широкими (до 25 мм) лан - цетовидными долями, голые; листовая пластинка до 30 см длины и почти такой же ширины. Цветки чаще по одному на верхушке стебля, 8-13 см в поперечнике. Чашечка из довольно крупных, остающихся при плодах чашелистиков. Лепестков 5 или более, они розово-крас - ные. Тычинки многочисленные, в 5 пучках. Пестиков 3-5, они с расширенными рыльцами, окружены мяси - стым нектарным диском. Плод из 3-5 крупных, горизон - тально отогнутых листовок, голых (var. nudicarpa Huth) или густоопушенных (var. anomala ). Семян по несколь - ко в листовке, они округло-эллиптические, длиной до 7 мм, блестяще-черные. Цветет на равнинах с конца, реже с середины мая до конца июня, в горах – до середины июля; семена со - зревают в конце августа - первой половине сентября. Диплоидный набор хромосом 2n=10. В медицине используют подземные и надземные органы Paeonia anomala . Подземная (корневища и кор - ни) и надземная (трава) части должны быть заготовле - ны в соотношении 1:1 (сухое сырьё). Близкие виды. Пион гибридный – Р. hybrida Pall.: доли листьев повислые, шириной 3-5 мм; корнеклуб - ни короткие и толстые; цветки ярко-пурпурные, 6-8 см в диаметре. В современной систематике этот вид не признается. Распространен на юге Западной Сибири и в Средней Азии. Пион средний ( P . intermedia С. А. Меу.) отличается от пиона уклоняющегося черно-бурой окраской семян и наличием перехватов корневых утол - щений. Пион узколистный – Р. tenuifolia L.: доли листьев нитевидно-линейные, шириной 1-2 мм, голые, повиса - ющие; цветки ярко-красные, 8-10 см в диаметре; семена буро-черные, блестящие. Растет на юге европейской ча - сти России и на Кавказе. Пион Биберштейна – Р. biebersteiniana Rupr.: бли - зок к пиону узколистному, но доли его листьев шире (шириной 3-10 мм), сверху по жилкам опушенные. В со - временной систематике считается синонимом пиона уз - колистного. Распространен в Предкавказье и на Запад - ном Кавказе. Все эти виды – преимущественно степные невысокие растения (высотой 15-50 см); их корневые утолщения, с резкими перехватами у основания, напо - минают клубни георгинов; листовки всегда опушены. Сырье этих видов не подлежит заготовке.","Ареал. Пион уклоняющий имеет ареал, большей частью расположенный в пределах России. Это один из сибирских видов, заходящих от южной границы России на север европейской части страны вплоть до юго-вос - тока Кольского п-ва и северной оконечности п-ова Ка - нин. На север пион проникает, как правило, по долинам крупных рек (Енисей и др.), на юг – по горным подняти - ям; большой «язык» имеется, в частности, на Уральском хребте, южнее Златоуста. Крайние восточные местона - хождения – нп Туойхая на Чоне, в западном Забайкалье. Ценоареал пиона уклоняющегося пока четко не окон - турен. В него входят Тыва, Хакасия, юго-запад Крас - ноярского края, юго-восток Западной Сибири (Томская и Новосибирская области, частично Северный Алтай). За пределами России пион уклоняющийся встре - чается в Китае, Монголии и Казахстане. На значитель - ной части своего ареала пион уклоняющийся включён в Красные книги соответствующих субъектов феде - рации (Архангельская, Иркутская, Кемеровская, Ки - ровская, Курганская, Мурманская, Омская, Пермская, Свердловская, Тюменская, Челябинская области; Ре - спублики Башкортостан, Бурятия, Коми, Саха (Якутия), У дмуртия; Ненецкий, Ханты-Мансийский и Ямало-Не - нецкий АО).","Экология. Пион уклоняющийся — преимуще - ственно лесное растение, более характерное для рав - нин. Предпочитает речные долины, по которым заходит в горы. К югу на равнинах исчезает и встречается лишь в горных районах. Тяготея к таежным и приречным ле - сам, пион уклоняющийся особенно часто поселяется на богатых гумусом почвах, свойственных пойменным лесам, а также негустым лиственничным, темнохвой - ным, березовым и смешанным лесам, их опушкам, вы - сокотравным полянам, таежным лугам. В горах наибо - лее обилен в редколесьях у верхнего предела древесной растительности. Чаще растет рассеянно, отдельными кустами, но местами образует небольшие по площади заросли с высоким обилием. По комплексу биолого-хозяйственных признаков успешно интродуцируется в лесостепной зоне Башкир - ского Предуралья. Введение его в культуру представля - ет значительный интерес благодаря высокой зимостой - кости, а также декоративности.",
ПИРЕТРУМ ЦИНЕР АРИЕЛИСТНЫЙ,,,,
ПЛАУН БУЛАВОВИДНЫЙ,,,,
ПОДОРОЖНИК БЛОШНЫЙ,,,,
ПОДОРОЖНИК БОЛЬШОЙ,"Описание. Многолетнее (иногда двулетнее) тра - вянистое растение. Корневая система мочковатая. От короткого толстого, вертикально расположенного кор - невища со всех сторон отходят тонкие шнуровидные корни. Цветоносов 1-10; они 15-45 см высотой, тонко - бороздчатые, голые, реже опушенные негустыми при - жатыми волосками, заканчивающиеся соцветием – ко - лосом. Соцветие цилиндрическое, при основании не - густое, длиной 5-15 см; цветонос во время цветения немного длиннее соцветия, позднее – короче его. Листья в прикорневой розетке, широкояйцевид - ные или широкоэллиптические, тупые, цельнокрайние, реже в базальной части неяснозубчатые, голые или сла - боопушенные, длиной около 12 см, с 3-9 продольными дугообразными жилками и с расширенным, почти кры - латым черешком. Цветки мелкие, невзрачные, с буроватым венчи - ком, сидят по одному в пазухах пленчатых прицветни - ков. Чашечка четырехраздельная, доли ее сходны с при - цветниками – гладкие, яйцевидные или овальные, по краям пленчатые. Тычинки в числе 4, они вдвое длиннее трубки венчика, с белыми нитями и темно-лиловыми пыльниками. Пестик с верхней двугнездной завязью, длинным, остающимся при плодах столбиком и корот - ко-опушенным рыльцем. Плод – яйцевидная, раскры - вающаяся поперек двугнездная коробочка с 4-8 мел - кими ребристыми семенами в каждом гнезде. Семена неправильной формы, клиновидные или ромбические, серовато-коричневые или бурые, блестящие, длиной около 1 мм. Одно растение дает до 60 тыс. семян. Масса 1000 семян 0,14-0,25 г. Цветет с мая-июня до августа-сентября. Плоды со - зревают в августе-октябре. Диплоидный набор хромосом 2n=12,18,24. В медицине используют листья и свежую траву подорожника большого. Другие виды. Вместе с подорожником большим могут встречаться сходные с ним виды подорожников, не подлежащие заготовке. Подорожник Корнута ( P. cornuti Gouan) отличается от подорожника большого толстоватыми, снизу волосистыми листьями и тонким, негустым колосом; этот вид, к тому же, охраняется в ряде субъектов Российской Федерации. Подорожник наибольший ( P . maxima Juss. ex Jacq.) отличается от п. большого наличием хорошо развито - го стержневого корня, толстоватыми, редкозубчатыми, с обоих сторон более-менее волосистыми листьями, бо - лее толстым и густым колосом, белыми или розоватыми (а не буроватыми) пыльниками и венчиком, четырёхсе - мянной коробочкой; этот вид также охраняется в ряде субъектов Российской Федерации. Подорожник средний ( P . media L.) отличается от п. большого наличием хорошо развитого стержневого корня, более узкими волосистыми листьями, белым или розоватым венчиком и тычинками, и коробочкой, содер - жащей 2-6 семян. Подорожники ланцетный ( P . lanceolata L.) и Ур - вилла ( P . urvillei Opiz) отличаются от п. большого на - личием хорошо развитого стержневого корня, удлинён - но-эллиптическими или ланцетными волосистыми ли - стьями, белым или розоватым венчиком и тычинками, и коробочкой, содержащей 2-6 семян. На Дальнем Востоке возможна заготовка подорож - ника азиатского – P . asiatica L., отличающегося более короткими цветоножками, который используют наравне с подорожником большим.","Ареал. Евро-азиатский вид с обширным ареалом. На других континентах встречается как заносное рас - тение. В России северная граница подорожника боль - шого начинается на Кольском полуострове, южнее Мурманска, достигает Архангельска и далее, примерно по 66°с.ш., идет на восток до Салехарда (низовья Оби), огибает с юга бассейн Таза и достигает Игарки на Ени - сее; далее на восток северная граница ареала проходит по Нижней Тунгуске и Вилюю, пересекает низовья Алдана, направляется на восток и доходит до Камчат - ки. К югу от указанной границы подорожник большой встречается повсеместно.",,
ПОДОФИЛЛ ЩИТОВИДНЫЙ,,,"Экология. Растения подофилла щитовидного пред - почитают тенистые или полутенистые места с рыхлой, богатой перегноем почвой; влаголюбивы, теневыносли - вы, зимостойки. Под культуру подофилла отводят до - статочно увлажненные, хорошо дренированные, чистые от сорняков, структурные супесчаные или среднесугли - нистые почвы с глубоким пахотным горизонтом.","Ресурсы. Подофилл щитовидный входит в число растений, исследуемых в ВИЛАРе, культура тканей ко - торого сохраняют жизнеспособное состояние in vitro. Имеется опыт интродуцирования видов рода Podophyllum (в том числе Podophyllum peltatum L.) на научно-опытной станции Отрадное Ботанического ин - ститута имени В.Л. Комарова Р АН."
ПОЛЫНЬ  ГОРЬКАЯ,,,,
ПОЛЫНЬ ОБЫКНОВЕННАЯ,"Описание. Многолетнее травянистое растение или полукустарник, с крепким, утолщенным в верхней части корневищем. Стебли высотой до 160 см, пря - мые, ребристые, нередко красноватые, в верхней части опушены слегка прижатыми волосками. Листья оче - редные, сверху голые, снизу — беловойлочные, круп - ные, перисто-рассеченные (часто не до основания) на ланцетовидные (от широко- до линейно-ланцетовид - ных) доли, длиной 1-10 см, шириной 2-2,5 мм. Верх - ние листья сидячие, нижние – черешковые. Черешки листьев в основании имеют от одной до пяти пар хоро - шо развитых ушек. Прицветные листья цельные, линейные. Корзин - ки продолговато-овальные, шириной 2-4 мм, направ - лены косо вверх, в плотных кистях, образующих не - густую, довольно широкую метелку длиной 20-50 см. Обертки корзинок паутинисто-волосистые. Краевые цветки пестичные, средние – обоеполые. Венчики сре - динных цветков красновато-бурые. Плоды – семянки. Диплоидный набор хромосом 2n=16,18,36,54. Цветет с июня до сентября; плоды созрева - ют с августа до октября. В Западной Сибири цветет в июле-августе, плоды созревают в августе-сентябре, а на юге Красноярского края зацветает в конце июля, цветет до начала сентября. Лекарственным растительным сырьем является трава полыни обыкновенной. Другие виды. По морфологическим признакам к полыни обыкновенной близки: - полынь Тилезиуса — A. tilesii Ledeb., растущая в Арктике. Отличается от полыни обыкновенной ша - ровидными или ширококолокольчатыми корзинками диаметром 4-5 (6) мм, однако современной системати - кой этот вид не признается.; - полынь монгольская — A. mongolica (Fisch. ex Besser) Fisch. ex Nakai, распространенная в Анга - ро-Саянском и Даурском флористических районах; - полынь белолистная — A. leucophylla (Turcz. ex Besser) Turcz. ex C.B. Clarke, встречающаяся на Алтае. Отличается меньшими размерами (высота 20-65 см), простым (лишь в верхней части с прижатыми веточ - ками) стеблем и более мелкими нижними стеблевыми листьями (длиной 5-8 см). Эти виды не разрешены для использования в на - учной медицине.","Ареал. Полынь обыкновенная имеет широкий го - ларктический ареал. Растет по всей европейской части России (исключая побережье Баренцева моря), на Кав - казе, в Сибири (исключая районы Таймыра, Якутии) и в Западном Приамурье. Граница ареала проходит по западной части Коль - ского п-ова, пересекает Хибинские горы и опускается до побережья Белого моря. Далее она проходит по Се -верному полярному кругу. В районе Салехарда грани - ца, поднимаясь к северо-востоку, пересекает Обскую губу и доходит до 70°с.ш. (низовья Енисея), достигая своего северного предела. Затем граница ареала резко поворачивает на юго-восток, пересекает плато Путо - рана, доходит до 62°30`с.ш. и длинным языком прони - кает на север по долине Лены и идет далее на Восток примерно по параллели 63°45`с.ш. до Берингова моря. Кроме России полынь обыкновенная встречается в Европе, ряде Азиатских стран, Австралии и в Север - ной Африке. Считается инвазивным видом в Север - ной Америке. Близкие виды встречаются в Восточной Азии и Северной Америке.","Экология. Растет в лесной, реже в лесостепной и степной зонах на лесных лугах, опушках и полянах, в разреженных, смешанных и лиственных, преимуще - ственно березовых лесах, среди зарослей кустарников, по берегам рек и как сорное — на залежах, пустырях, огородах, в садах и парках. Нередко образует заросли на пустырях, в населенных пунктах.","Ресурсы. Природные ресурсы полыни обыкно - венной обширны, но изучены очень слабо. В литера - туре имеются лишь отрывочные данные о ее запасах. В Сибири ее можно заготавливать в Красноярском крае, в Хакасии, в Ачинском, Канском и других рай - онах. В Амурской области возможна ежегодная заго - товка нескольких тонн сырья этого растения. Многие сотни тонн можно заготовить в средней полосе Евро - пейской России. Заготавливают траву полыни обыкновенной в фазу цветения, срезая цветущие верхушки побегов длиной около 35 см. Собранную траву сушат на черда - ках с хорошей вентиляцией или под навесами. Раскла - дывают на бумаге или ткани слоем 5-7 см и периодиче - ски переворачивают его. Выход сухого сырья 23-24 % от массы свежесобранного."
ПРУТНЯК ОБЫКНОВЕННЫЙ,,,,
ПУСТЫРНИК  СЕРДЕЧНЫЙ,,,,
Р АПОНТИКУМ САФЛОРОВИДНЫЙ,,,,
Р АСТОРОПША ПЯТНИСТАЯ,"Описание. Двулетнее или однолетнее травянистое растение, с мощно развитой надземной массой. В культу - ре выращивается как однолетник, полный цикл развития которого, по данным разных исследователей, проходит за один вегетационный период, длительность которого составляют в зависимости от региона, от 90 до 130 дней. Корневая система стержневая, основная масса корней находится в слое почвы до 50 см. Стебель прямой или ветвистый, высотой обычно до 1,5 м (от 0,3 до 2,7 м), цилиндрический, голый или слабо паутинисто-опушен - ный, бороздчатый, покрытый мучнистым налетом. Ли - стья перисто-лопастные или перисто-рассеченные, ко - жистые, блестящие, темно-зеленые, с многочисленными крупными белыми пятнами или поперечными полосами, по краю пластинки и жилкам с нижней стороны, шипо - ватые, обратно-ланцетные или эллиптические, длиной до 80 см, шириной до 30 см. Нижние листья черешко - вые, собраны розеткой; верхние – меньших размеров, сидячие, с широким охватывающим и коротко низбега - ющим основанием. Самые верхние листья более умень - шенные, с колючими стеблеобъемлющими лопастями. Соцветия – верхушечные, одиночные, продолгова - тые, круглые или шаровидные корзинки, диаметром от 3 до 6 см, на тонких цветоносах. В соцветии в среднем формируется от 80 до 100 цветков, продолжительность жизни которых не превышает двух суток. Цветки мно - гочисленные, трубчатые, обоеполые, пурпурные, ро - зовые, фиолетовые или белые. Тычинок 5. Цветоложе мясистое, покрыто волосками. Чашечка пятизубчатая. Листочки обертки зеленые, черепитчатые, наружные и средние – с листовидным жестким колючим придат - ком – колючкой. Плоды – «семянки», обратнояйцевид - ные или эллиптические, слегка сдавленные с боков, го - лые, длиной до 8 мм, шириной от 2 до 4 мм, толщиной 1-3 мм, с хохолком, который в 2-3 раза длиннее cемянки. Хохолки – летучки, которые образуются на семянках из прицветника, способствуют распространению семян ветром. Вершина плода несколько усеченная, округлая, с выступающим остатком столбика, основание – тупое. Поверхность плодов иногда продольно-морщинистая, блестящая или матовая, окраска семянок белая или тем - но-коричневая, до черной, с продольными светлыми ли - ниями и более или менее беломраморно-пятнистая. Диплоидный набор хромосом 2n=34. Цветение растянутое, первые соцветия появляются в июле, а последние – в конце сентября. Цветение одного соцветия длится в среднем 26 дней. Распускание цветков в соцветии центробежное. Для расторопши не характе - рен перенос пыльцы ветром; 90-100 % образовавшихся плодов обеспечивает автогамное опыление. Плодоно - сит в августе-сентябре (октябре). Созревание плодов происходит крайне неравномерно. Более спелыми сна - чала становятся семянки, завязавшиеся в центральных корзинках на главном стебле, позднее созревают плоды в корзинках первого, второго и последующих порядков ветвления. От начала цветения корзинок до созревания семянок, в зависимости от метеорологических условий, проходит от 3 до 4 недель.","Ареал. Родиной растения считается Южная Евро - па. Как сорное растение широко распространено в стра - нах Средиземноморья, Средней и Центральной Европы, Северной Африки, Малой Азии, Центральной Азии. За - несено в Северную Америку и в южную часть Австра - лии. Как рудеральное растение встречается в централь - ной и южной полосе европейской части России, в Завол - жье, на юге Западной Сибири, на Кавказе. Произрастает обычно вдоль дорог, на заброшенных полях, на солнеч - ных сухих склонах, иногда на засоленных почвах.","Экология. Расторопша – неприхотливое к услови - ям своего обитания растение. В первый год развиваются многочисленные прикорневые листья, сформированные в виде низкого кустика, из которого на второй год вырас - тает цветоносный стебель. В фазе розетки может перези - мовать в условиях Краснодарского края, однако при тем - пературе ниже -10°С гибнет. В естественных условиях она произрастает в самых различных почвенно-клима - тических условиях. Растение отличается засухоустойчи - востью и не переносит длительного избыточного увлаж - нения почвы. При культивировании в условиях неустойчивого обеспечения влагой (например, в Среднем Поволжье) растение хорошо отзывается на орошение. Расторопша достаточно тепло- и светолюбивое растение, однако всходы выдерживают кратковременные весенние замо - розки. Цветет с июля до осени. Оптимальными зонами возделывания расторопши в России являются: Среднее Поволжье, Центральное Черноземье и Северный Кавказ, юг Западной Сибири.","Ресурсы. Родина расторопши – Южная и Атлан - тическая Европа, во флоре России нет значительных природных запасов расторопши. Поэтому сырье с дико - растущих зарослей в промышленных масштабах не заго - тавливают. Потребность в плодах, которые являются ле - карственным растительным сырьем, удовлетворяется за счет выращивания расторопши на полях специализиро - ванных хозяйств. Урожайность «семянок» на опытных полях достигает 1,0-1,5 т/га, в производственных усло - виях гораздо меньше – 0,4-0,7 т/га. В настоящее время у фармацевтической промышленности существует по - требность в сырье порядка 260 т плодов расторопши."
РЕВЕНЬ ПАЛЬЧАТЫЙ ТАНГУТСКИЙ,"Описание. Многолетнее травянистое растение. Корневище короткое, толстое (3-6 см), многоглавое (у 1-2-летних особей обычно неразветвленное), тем - но-бурое, с несколькими крупными, толщиной 2-3,5 см, мясистыми придаточными корнями. 1-2-летние растения формируют розетку прикорневых листьев, отмирающих осенью. Впервые цветение наблюдают у 3-4-летних осо - бей, изредка – у 2-летних; цветоносный побег обычно один; в последующие годы их число увеличивается. Стебель прямой, маловетвистый, высотой 1-3 м, ди - аметром 2-5 см, полый, с красноватыми пятнами и поло - сками. Прикорневые листья длинночерешковые, длиной до 1 м и более; пластинка с сердцевидным основанием, широкояйцевидная до 40-60 см шириной, 5-7-лопастная или дланевидно-раздельная; лопасти (или доли) зао - стренные, неравно крупно-надрезанные, с выступаю - щей на нижней стороне крупной средней жилкой; сверху пластинка опушена редко расположенными короткими волосками, снизу – более густыми и длинными. Стебле - вые листья немногочисленные, значительно мельче. Соцветие – многоцветковая густая метелка дли - ной около 50 см и более, с вертикально восходящими боковыми ответвлениями. Цветки мелкие, правильные, с беловато-кремовым, розовым или красным простым венчиковидным околоцветником. Тычинок 9, пестик 1, из 3 плодолистиков, с верхней одногнездной завязью, 3 столбиками и головчатыми рыльцами. Плод – крас - но-бурый орешек, в поперечном сечении трехгранный, с 3 широкими крыловидными ребрами, имеет яйцевид - ную, эллиптическую или продолговатую форму; длиной 7-10 см. Масса 1000 «семян» - орешков 13-15 г. Семя трехгранное, широкояйцевидное, коричнево-чёрное или бурое, с крахмалистым эндоспермом. Завязь ромбовид - но-яйцевидная. Морфологическая изменчивость отдельных орга - нов касается, прежде всего, формы и степени расчленен - ности листьев, строения цветоносов, окраски стеблей, цветков, околоплодников и др. Растения с различной окраской околоцветника почти равноценны по содержа - нию биологически активных веществ. Диплоидный набор хромосом 2n=22, 24. Цветет в июне, плодоносит в июле. Лекарственным растительным сырьем являются корни ревеня пальчатого. Другие виды. Для ревеня черноморского (рапон - тикового) Rheum rhaponticum L. характерны длинноче - решковые прикорневые листья с округло-яйцевидными, по краю немного волнистыми, пластинками, а также продолговато-яйцевидные стеблевые листья на более коротких черешках; листовые пластинки с обеих сторон голые. Содержит гликозид рапонтицин (производное стильбена), на который необходимо проводить пробу при определении качества сырья ревеня. В Республике Беларусь культивируется как лекарственное и овощное растение. У ревеня волнистого (обыкновенного) Rheum rhabarbarum L. ( R. undulatum L.) прикорневые листья цельные продолговато-треугольные, с оттянутой вер - хушкой, сильно волнистыми краями и сердцевидным основанием; пластинка листа с 5 крупными жилками, густо опушенная снизу или с обеих сторон и по краям курчавыми волосками; черешок равен длине пластинки; стеблевые листья меньших размеров. В качестве лекар - ственного сырья используют подземную часть ревеня. В Республике Беларусь культивируется как лекарствен - ное и овощное растение.","Ареал. Относится к китайскому очагу происхож - дения культурных растений; его родина – Центральный Китай и северо-восток Тибета. В диком виде произрас - тает в провинциях Ганьсу, Сычуань, Хубэй, Цинхай, Шэньси, Юньнань, Сычуань; Монголия, Тибет, особен - но часто встречается около озера Кукунор и в верховьях реки Хуанхэ. Введен в культуру в Германии, Польше, Болгарии, других странах Европы, а также в Восточ - ной Азии. В России его можно культивировать в Московской, Воронежской и Новосибирской областях.","Экология. На родине, в горах Южного и Западного Китая (Тибет, Тангутия) ревень пальчатый встречается в лесистых горных ущельях, в оврагах, вдоль берегов рек, на возвышенных равнинах до 3000 м над уровнем моря. Это крупное многолетнее травянистое растений (иногда превышает человеческий рост) растет на бога - тых перегноем почвах, при достаточном увлажнении. В медицине используют корни ревеня пальчатого (тан - гутская разновидность); в состав сырья могут входить также корневища. Заменителем ревеня тангутского мо - жет служить ревень алтайский (каменистые склоны под - ножий горных хребтов Алтая, Тувы, Саян, Забайкалья).",
